Trip_count,Weekday,Precipitation,Temp,Gust_speed
76419,0,0,80,8.9
67298,0,1,81,12.1
77694,1,0,70,15
83299,1,0,70,12.1
78805,1,0,81,14.1
81356,1,0,83,12.1
82950,1,0,81,8.1
78096,0,0,81,16.1
73972,0,0,78,14.1
37024,1,1,70,15
78052,1,1,77,15
85042,1,0,74,12.1
49195,1,1,65,21.9
80613,1,0,73,17
73899,0,0,81,15
55523,0,0,80,15
72530,1,0,76,10.1
36402,1,1,73,10.1
63674,1,0,71,8.1
59926,1,1,78,8.1
65686,1,1,77,15
76612,0,0,79,15
75546,0,0,83,12.1
80028,1,0,84,8.1
65885,1,1,84,8.1
83301,1,0,87,8.9
81577,1,0,89,10.1
78682,1,0,89,10.1
62714,0,0,91,14.1
63570,0,0,83,21
78238,1,0,85,10.1
78158,1,0,85,8.9
74223,1,0,87,10.1
52712,1,0,90,13
58723,1,0,86,8.9
50897,0,0,90,10.1
61485,0,0,86,15
68030,1,0,78,8.1
83708,1,0,87,10.1
84219,1,0,88,12.1
54495,1,1,87,12.1
81075,1,0,87,12.1
76860,0,0,85,10.1
67911,0,0,89,13
81053,1,0,85,8.9
84569,1,0,91,10.1
69169,1,1,93,14.1
61067,1,1,79,15
75054,1,0,91,13
50576,0,0,95,13
48198,0,0,95,14.1
52376,1,1,90,14.1
66278,1,1,74,12.1
87644,1,0,83,12.1
86449,1,0,84,10.1
82881,1,0,88,8.9
72256,0,0,85,12.1
67672,0,0,88,13
78766,1,0,90,12.1
80742,1,0,92,12.1
65580,1,1,87,14.1
87706,1,0,87,8.9
82260,1,0,84,8.9
77285,0,1,86,18.1
66868,0,0,87,12.1
82393,1,0,82,13
82515,1,0,79,8.9
52193,1,1,84,13
79609,1,0,84,16.1
80280,1,0,83,14.1
82793,0,0,81,14.1
73365,0,0,80,12.1
81371,1,0,85,12.1
75004,1,0,79,10.1
75603,1,0,84,10.1
84883,1,0,85,10.1
81541,1,0,79,8.9
78121,0,0,87,8.9
56347,0,1,90,15
73963,1,0,90,13
82301,1,0,88,8.9
73026,1,0,87,12.1
